Provider EPG,Consumer EPG,Consumer VRF,Contract,Filter,Hits,TCAM Usage
tn-abc02/ctx-abc02_ctx02/any,abc02_ctx02/any,tn-abc02/ctx-abc02_ctx02,tn-abc02/ctx-abc02_ctx02,sys/actrl/filt-implicit,0,4
tn-sf17/ctx-sf17_ctx02/any,sf17_ctx02/any,tn-sf17/ctx-sf17_ctx02,tn-sf17/ctx-sf17_ctx02,sys/actrl/filt-implicit,0,2
tn-cd22/ctx-cd22_ctx01/any,cd22_ctx01/any,tn-cd22/ctx-cd22_ctx01,tn-cd22/ctx-cd22_ctx01,sys/actrl/filt-implarp,0,2
tn-sj13/ctx-sj13_ctx02/any,sj13_ctx02/any,tn-sj13/ctx-sj13_ctx02,tn-sj13/ctx-sj13_ctx02,sys/actrl/filt-implicit,0,4
tn-amb/ap-amb2-AP/epg-amb2_epg1,amb2/any,tn-amb/ctx-amb2,tn-amb/taboo-taboo_100-200,tn-amb/flt-tab-tcp_100-200,0,1
tn-sf19/BD-sf19_ctx01_bd01,sf19_ctx01/any,tn-sf19/ctx-sf19_ctx01,tn-sf19/ctx-sf19_ctx01,sys/actrl/filt-implicit,0,1
tn-corp05/ctx-ctx1/any,ctx1/any,tn-corp05/ctx-ctx1,tn-corp05/ctx-ctx1,sys/actrl/filt-implarp,0,3
tn-csco/ctx-vrf-sjc/any,vrf-sjc/any,tn-csco/ctx-vrf-sjc,tn-csco/ctx-vrf-sjc,sys/actrl/filt-implarp,0,3
tn-abc06/BD-abc06_ctx01_bd01,abc06_ctx01/any,tn-abc06/ctx-abc06_ctx01,tn-abc06/ctx-abc06_ctx01,sys/actrl/filt-implicit,0,2
tn-sj11/BD-sj11_ctx01_bd01,sj11_ctx01/any,tn-sj11/ctx-sj11_ctx01,tn-sj11/ctx-sj11_ctx01,sys/actrl/filt-implicit,0,1
tn-sf16/ctx-sf16_ctx01/any,sf16_ctx01/any,tn-sf16/ctx-sf16_ctx01,tn-sf16/ctx-sf16_ctx01,sys/actrl/filt-implicit,0,4
tn-bell05/ctx-ctx2/any,ctx2/any,tn-bell05/ctx-ctx2,tn-bell05/ctx-ctx2,sys/actrl/filt-implarp,0,1
tn-abc06/BD-abc06_ctx01_bd05,abc06_ctx01/any,tn-abc06/ctx-abc06_ctx01,tn-abc06/ctx-abc06_ctx01,sys/actrl/filt-implicit,0,2
tn-sj11/BD-sj11_ctx01_bd02,sj11_ctx01/any,tn-sj11/ctx-sj11_ctx01,tn-sj11/ctx-sj11_ctx01,sys/actrl/filt-implicit,0,1
tn-bell02/ap-ctx2-ap1/epg-ctx2-bd1-epg2,ctx2-bd2-epg1,tn-bell02/ctx-ctx2,tn-bell02/brc-cont1,tn-bell02/flt-fil1,0,2
tn-infra/ctx-overlay-1/any,overlay-1/any,tn-infra/ctx-overlay-1,tn-infra/ctx-overlay-1,sys/actrl/filt-implicit,0,3
tn-sf19/ctx-sf19_ctx02/any,sf19_ctx02/any,tn-sf19/ctx-sf19_ctx02,tn-sf19/ctx-sf19_ctx02,sys/actrl/filt-implarp,0,2
tn-abc08/BD-abc08_ctx01_bd03,abc08_ctx01/any,tn-abc08/ctx-abc08_ctx01,tn-abc08/ctx-abc08_ctx01,sys/actrl/filt-implicit,0,2
tn-bell03/ap-ctx2-ap1/epg-ctx2-bd1-epg1,ctx2-bd2-epg1,tn-bell03/ctx-ctx2,tn-bell03/brc-cont1,tn-bell03/flt-fil1,0,2
tn-sf18/ap-sf18_ctx01_bd01_ap/epg-sf18_ctx01_bd01_epg01,sf18_ctx01/any,tn-sf18/ctx-sf18_ctx01,tn-sf18/taboo-sf18_tb01,tn-sf18/flt-tbfil1,0,1
tn-giga/BD-giga_ctx1_bd3,giga_ctx1/any,tn-giga/ctx-giga_ctx1,tn-giga/ctx-giga_ctx1,sys/actrl/filt-implicit,0,2
